step,rl_mean,rl_std,rl_ema,baseline_mean,baseline_std,baseline_ema,pid_mean,pid_std,pid_ema
228,228.0,0.0,139.01058742614893,228.0,0.0,139.01058742614893,228.0,0.0,139.01058742614893
229,229.0,0.0,139.91048155188744,229.0,0.0,139.91048155188744,229.0,0.0,139.91048155188744
230,230.0,0.0,140.81137673636857,230.0,0.0,140.81137673636857,230.0,0.0,140.81137673636857
231,231.0,0.0,141.7132629690049,231.0,0.0,141.7132629690049,231.0,0.0,141.7132629690049
232,232.0,0.0,142.61613033931482,232.0,0.0,142.61613033931482,232.0,0.0,142.61613033931482
233,233.0,0.0,143.5199690359217,233.0,0.0,143.5199690359217,233.0,0.0,143.5199690359217
234,234.0,0.0,144.42476934556248,234.0,0.0,144.42476934556248,234.0,0.0,144.42476934556248
235,235.0,0.0,145.33052165210685,235.0,0.0,145.33052165210685,235.0,0.0,145.33052165210685
236,236.0,0.0,146.2372164355858,236.0,0.0,146.2372164355858,236.0,0.0,146.2372164355858
237,237.0,0.0,147.14484427122994,237.0,0.0,147.14484427122994,237.0,0.0,147.14484427122994
238,238.0,0.0,148.05339582851764,238.0,0.0,148.05339582851764,238.0,0.0,148.05339582851764
239,239.0,0.0,148.96286187023247,239.0,0.0,148.96286187023247,239.0,0.0,148.96286187023247
240,240.0,0.0,149.87323325153017,240.0,0.0,149.87323325153017,240.0,0.0,149.87323325153017
241,241.0,0.0,150.78450091901485,241.0,0.0,150.78450091901485,241.0,0.0,150.78450091901485
242,242.0,0.0,151.6966559098247,242.0,0.0,151.6966559098247,242.0,0.0,151.6966559098247
243,243.0,0.0,152.60968935072646,243.0,0.0,152.60968935072646,243.0,0.0,152.60968935072646
244,244.0,0.0,153.5235924572192,244.0,0.0,153.5235924572192,244.0,0.0,153.5235924572192
245,245.0,0.0,154.438356532647,245.0,0.0,154.438356532647,245.0,0.0,154.438356532647
246,246.0,0.0,155.35397296732052,246.0,0.0,155.35397296732052,246.0,0.0,155.35397296732052
247,247.0,0.0,156.2704332376473,247.0,0.0,156.2704332376473,247.0,0.0,156.2704332376473
248,248.0,0.0,157.1877289052708,248.0,0.0,157.1877289052708,248.0,0.0,157.1877289052708
249,249.0,0.0,158.1058516162181,249.0,0.0,158.1058516162181,249.0,0.0,158.1058516162181
250,250.0,0.0,159.02479310005592,250.0,0.0,159.02479310005592,250.0,0.0,159.02479310005592
251,251.0,0.0,159.94454516905535,251.0,0.0,159.94454516905535,251.0,0.0,159.94454516905535
252,252.0,0.0,160.8650997173648,252.0,0.0,160.8650997173648,252.0,0.0,160.8650997173648
253,253.0,0.0,161.78644872019117,253.0,0.0,161.78644872019117,253.0,0.0,161.78644872019117
254,254.0,0.0,162.70858423298927,254.0,0.0,162.70858423298927,254.0,0.0,162.70858423298927
255,255.0,0.0,163.63149839065937,255.0,0.0,163.63149839065937,255.0,0.0,163.63149839065937
256,256.0,0.0,164.55518340675277,256.0,0.0,164.55518340675277,256.0,0.0,164.55518340675277
257,257.0,0.0,165.47963157268524,257.0,0.0,165.47963157268524,257.0,0.0,165.47963157268524
258,258.0,0.0,166.4048352569584,258.0,0.0,166.4048352569584,258.0,0.0,166.4048352569584
259,259.0,0.0,167.33078690438882,259.0,0.0,167.33078690438882,259.0,0.0,167.33078690438882
260,260.0,0.0,168.25747903534491,260.0,0.0,168.25747903534491,260.0,0.0,168.25747903534491
261,261.0,0.0,169.1849042449915,261.0,0.0,169.1849042449915,261.0,0.0,169.1849042449915
262,262.0,0.0,170.11305520254157,262.0,0.0,170.11305520254157,262.0,0.0,170.11305520254157
263,263.0,0.0,171.04192465051617,263.0,0.0,171.04192465051617,263.0,0.0,171.04192465051617
264,264.0,0.0,171.97150540401103,264.0,0.0,171.97150540401103,264.0,0.0,171.97150540401103
265,265.0,0.0,172.90179034997092,265.0,0.0,172.90179034997092,265.0,0.0,172.90179034997092
266,266.0,0.0,173.8327724464712,266.0,0.0,173.8327724464712,266.0,0.0,173.8327724464712
267,267.0,0.0,174.76444472200652,267.0,0.0,174.76444472200652,267.0,0.0,174.76444472200652
268,268.0,0.0,175.69680027478645,268.0,0.0,175.69680027478645,268.0,0.0,175.69680027478645
269,269.0,0.0,176.62983227203858,269.0,0.0,176.62983227203858,269.0,0.0,176.62983227203858
270,270.0,0.0,177.56353394931818,270.0,0.0,177.56353394931818,270.0,0.0,177.56353394931818
271,271.0,0.0,178.497898609825,271.0,0.0,178.497898609825,271.0,0.0,178.497898609825
